text,question,start_span,end_span,input_ids,attention_mask,start_positions,end_positions
"The bachelor of Science in information Technology focuses on the study of both hardware and software technologies invovling planning, installing, customizing, operating, managing, and administering, and Maintaining information technology infrastructure that provide computing solutions to address the needs of an organization",What is Information Technology,27,57,"tensor([  101,  1327,  1110,  4219,  3529,  1109,  8091,  1104,  2444,  1107,
         1869,  3529,  7203,  1113,  1103,  2025,  1104,  1241,  8172,  1105,
         3594,  7951,  1107,  6005,  1964,  1979,  3693,   117, 27432,   117,
         8156,  4404,   117,  3389,   117,  7204,   117,  1105, 23972,  1158,
          117,  1105,  4304, 26174,  1869,  2815,  6557,  1115,  2194, 12783,
         7995,  1106,  4134,  1103,  2993,  1104,  1126,  2369,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",27,57
"The Bachelor of Science in Computer Science provides the study of computing concepts and theories, algorithmic foundations, and new developments in computing. The program prepares students to design and create algorithmically complex software and develop new and effective algorithms for solving computing problems.",What is computer science,27,84,"tensor([  101,  1327,  1110,  2775,  2598,  1109,  6143,  1104,  2444,  1107,
         6701,  2444,  2790,  1103,  2025,  1104, 12783,  8550,  1105,  7997,
          117,  9932,  1596, 11217,   117,  1105,  1207,  9093,  1107, 12783,
          119,  1109,  1788, 23133,  1651,  1106,  1902,  1105,  2561,  9932,
         9203,  2703,  3594,  1105,  3689,  1207,  1105,  3903, 14975,  1111,
        15097, 12783,  2645,   119,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1])",27,84
"This program delivers the concepts, principles, and techniques in the design and development of multimedia products and solutions. The program enables students to be skillful and  knowledgeable about the whole pipeline of Digital Animation projects. It also tackles the study and application of fundamental and advanced theories in developing 2D and 3D animated media.",What is EMC,0,47,"tensor([  101,  1327,  1110,   142, 10044,  1188,  1788, 19603,  1103,  8550,
          117,  6551,   117,  1105,  4884,  1107,  1103,  1902,  1105,  1718,
         1104, 20680,  2982,  1105,  7995,   119,  1109,  1788, 13267,  1651,
         1106,  1129,  7864,  2365,  1105,  3044,  1895,  1164,  1103,  2006,
        15826,  1104,  6082, 15048,  3203,   119,  1135,  1145, 10379,  1103,
         2025,  1105,  4048,  1104,  8148,  1105,  3682,  7997,  1107,  4297,
        22947,  1105,  7860,  6608,  2394,   119,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",0,47
"Career Opportunities of bachelor of Science in Information Technology are, Web and Applications Developer, Junior Database Administrator, System Administrator, Network Engineer, Information Security Administrator, Systems Integration Personnel, IT Audit Assistant, Technical Support Specialist, Quality Assurance Specialist, System Analyst, Computer Programme",What are the Career of IT,0,73,"tensor([  101,  1327,  1132,  1103, 17062,  1104,  9686, 17062,  9126,  4342,
        19782,  4338,  1104,  8091,  1104,  2444,  1107,  4219,  3529,  1132,
          117,  9059,  1105, 20603, 18433, 19773,  3365,   117,  3800, 22929,
        19483,   117,  3910, 19483,   117,  3998,  8252,   117,  4219,  4354,
        19483,   117,  6475, 26631, 19821,   117,  9686, 22139,  1204,  5414,
          117,  6846,  8704, 25607,   117, 14801,  1249,  6385, 10555, 25607,
          117,  3910,  9954,  1193,  2050,   117,  6701, 11512,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",0,73
"Career Opportunities of bachelor of Science in Computer Science are, Software Engineer, Systems Software Developer, Research and Development Computing Professional, Applications Software Developer, Computer Programmer, System Analyst, Data Analyst, Quality Assurance Specialist, Software Support Specialist",What are the Career of CS,0,69,"tensor([  101,  1327,  1132,  1103, 17062,  1104, 24821, 17062,  9126,  4342,
        19782,  4338,  1104,  8091,  1104,  2444,  1107,  6701,  2444,  1132,
          117, 10331,  8252,   117,  6475, 10331, 18433, 19773,  3365,   117,
         2713,  1105,  3273, 20463,  6861,   117, 20603, 10331, 18433, 19773,
         3365,   117,  6701, 11512,  1197,   117,  3910,  9954,  1193,  2050,
          117,  7154,  9954,  1193,  2050,   117, 14801,  1249,  6385, 10555,
        25607,   117, 10331,  8704, 25607,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",0,69
"Career Opportunities of bachelor of Science in Entertainment and multimedia computing are, Creative Programmer, Technical Animator, Creative Content Developer, Ad Builders Technical, Director for Modelling / Rigging / Lighting, Animation Quality Assurance Specialist, Technical Director for Game Art, Digital 2D or 3D Animation Content Producer,Digital 2D or 3D Production Designer, Associate Business Development Specialist for Entertainment Multimedia Industries",What are the Career of EMC,0,85,"tensor([  101,  1327,  1132,  1103, 17062,  1104,   142, 10044, 17062,  9126,
         4342, 19782,  4338,  1104,  8091,  1104,  2444,  1107,  4549,  1105,
        20680, 12783,  1132,   117, 10963, 11512,  1197,   117,  6846,  1760,
        23021,   117, 10963, 27551, 18433, 19773,  3365,   117, 24930,   139,
        19118,  1468,  6846,   117,  2524,  1111,  6747,  1979,   120,   155,
         6512,  3375,   120,  3935,  1158,   117, 15048, 14801,  1249,  6385,
        10555, 25607,   117,  6846,  2524,  1111,  3497,  2051,   117,  6082,
        22947,  1137,  7860, 15048, 27551,  8033,   117,  6082, 22947,  1137,
         7860,  6401, 25174,   117,  9666,  3518,  3273, 25607,  1111,  4549,
        18447, 16418, 10699,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",0,85
"The Our Lady of Fatima University, together with Fatima Medical Science Foundation, Inc., is dedicated to the improvement of man as man through the holistic formation of individuals imbued with knowledge, skills, and virtues.",what is the olfu mission,90,135,"tensor([  101,  1184,  1110,  1103,   184,  9654,  1358,  2862,  1109,  3458,
         2876,  1104, 13723,  8628,  1239,   117,  1487,  1114, 13723,  8628,
         3875,  2444,  2974,   117,  3561,   119,   117,  1110,  3256,  1106,
         1103,  8331,  1104,  1299,  1112,  1299,  1194,  1103, 16358, 15105,
         3855,  1104,  2833, 13280,  7925,  1174,  1114,  3044,   117,  4196,
          117,  1105, 26437,   119,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1])",90,135
A premier inclusive university of choice aspiring to improve man as man by developing individuals through a legacy of excellent education and compassionate value formation.,what is the olfu vision,0,49,"tensor([  101,  1184,  1110,  1103,   184,  9654,  1358,  4152,   138, 11591,
        21783,  2755,  1104,  3026, 25850,  1106,  4607,  1299,  1112,  1299,
         1118,  4297,  2833,  1194,   170, 10261,  1104,  6548,  1972,  1105,
        18027,  2193,  2860,  3855,   119,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",0,49
"The College of Computer Studies aims to provide innovative and quality instruction to the advancement of technology, intends to develop an entrepreneurial learning environment towards sustainability and growth; and develops responsible and morally upright citizens",what is the ccs mission,48,115,"tensor([  101,  1184,  1110,  1103, 14402,  1116,  2862,  1109,  1531,  1104,
         6701,  3829,  8469,  1106,  2194, 10034,  1105,  3068,  8235,  1106,
         1103, 19024,  1104,  2815,   117, 20299,  1106,  3689,  1126, 12035,
         2916,  3776,  3750,  2019, 20598,  1105,  3213,   132,  1105, 11926,
         2784,  1105,  7279,  1193, 10170,  4037,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",48,115
"we are committed to provide accessible, responsive, and quality Information Technology Education (ITE) programs and to become the Institution of choice in producing competent and responsible I T professionals who are sensitive to the needs and demands of the industry.",what is the ccs vision,28,63,"tensor([  101,  1184,  1110,  1103, 14402,  1116,  4152,  1195,  1132,  4762,
         1106,  2194,  7385,   117,  1231, 20080,  4199,  2109,   117,  1105,
         3068,  4219,  3529,  2531,   113,  9686,  2036,   114,  2648,  1105,
         1106,  1561,  1103, 11127,  1104,  3026,  1107,  4411, 19555,  1105,
         2784,   146,   157,  8799,  1150,  1132,  7246,  1106,  1103,  2993,
         1105,  7252,  1104,  1103,  2380,   119,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1])",28,63
"1. Apply Computer Science principles in software engineering, artificial intelligence, computer networking, database systems, computer graphics, and web science as required for career entry, 2. Develop and present research papers in public forums. 3. Explore continuing studies and take and pass certification exams applicable to the field or specializaion. 4. Adhere to the ethical and moral standards of ACM and IEEE professional code of conduct. 5. Conduct community-based training and innovate solutions for computing problems.",what is the ccs program outcomes,3,60,"tensor([  101,  1184,  1110,  1103, 14402,  1116,  1788, 13950,   122,   119,
          138,  8661,  1193,  6701,  2444,  6551,  1107,  3594,  3752,   117,
         8246,  4810,   117,  2775, 16074,   117,  8539,  2344,   117,  2775,
         9043,   117,  1105,  5127,  2598,  1112,  2320,  1111,  1578,  3990,
          117,   123,   119, 18433, 19773,  1643,  1105,  1675,  1844,  4580,
         1107,  1470, 25438,   119,   124,   119, 16409,  1643, 21425,  5542,
         2527,  1105,  1321,  1105,  2789, 12146, 15747, 13036,  1106,  1103,
         1768,  1137,  1957, 23228,  1988,   119,   125,   119, 24930, 12807,
         1106,  1103, 15380,  1105,  7279,  4473,  1104,  9690,  2107,  1105,
        16206,  1848,  3463,  1104,  5880,   119,   126,   119, 16752, 13890,
         1661,   118,  1359,  2013,  1105, 14880,  8625,  1566,  7995,  1111,
        12783,  2645,   119,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",3,60
1. Demonstrate professional computing competence through integration of knowledge learned in different disciples of computer science and utilization of evidence-based practice in providing approximate solutions to computing problem. 2. Contribute in the transformation of the computer science through research and innovation. 3. Engage in lifelong computer science education through active and empowered learning. 4. Fulfill the professional computing roles with deep sense of moral and social responsibility. 5. Exemplify quality and excellent leadership in providing computing services to the global community,what is the ccs program educational objectives,3,48,"tensor([  101,  1184,  1110,  1103, 14402,  1116,  1788,  4339, 11350,   122,
          119, 25501, 18775,  1848, 12783, 26613,  1194,  9111,  1104,  3044,
         3560,  1107,  1472, 21429,  1104,  2775,  2598,  1105,   190, 19621,
         2734,  1104,  2554,   118,  1359,  2415,  1107,  3558, 17325,  7995,
         1106, 12783,  2463,   119,   123,   119, 16752, 19091, 16442,  1162,
         1107,  1103,  9047,  1104,  1103,  2775,  2598,  1194,  1844,  1105,
        11279,   119,   124,   119, 13832,  2571,  2176,  1107, 14497,  2775,
         2598,  1972,  1194,  2327,  1105,  9712, 18186,  3776,   119,   125,
          119, 14763,  9654,  7956,  1103,  1848, 12783,  3573,  1114,  1996,
         2305,  1104,  7279,  1105,  1934,  4812,   119,   126,   119, 16409,
         5521,  1643, 22881,  3068,  1105,  6548,  3645,  1107,  3558, 12783,
         1826,  1106,  1103,  4265,  1661,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",3,48
"For tuition fee details, visit the accounting office of Our Lady of Fatima University",information about tuition fee,4,23,"tensor([  101,  1869,  1164, 17185,  7216,  1370, 17185,  7216,  4068,   117,
         3143,  1103, 11438,  1701,  1104,  3458,  2876,  1104, 13723,  8628,
         1239,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",4,23
"the department of college of computer studies is located at MXHP+X93, Tamaraw Hills Ext, Valenzuela, Metro Manila",where is the college located,29,68,"tensor([  101,  1187,  1110,  1103,  2134,  1388,  1103,  2853,  1104,  2134,
         1104,  2775,  2527,  1110,  1388,  1120,   150,  3190, 18104,   116,
          161,  1580,  1495,   117, 24251,  2246,  5377, 16409,  1204,   117,
        10532, 19411, 24741,  1161,   117,  6431,  9002,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",29,68
